Job_Title,Job_URL,Location,Company_Name,Posted_Date
Rechtsanwaltsfachangestellte/r (m/w/d),https://de.indeed.com/viewjob?jk=7681878e2dcb4e89,66111 Saarbrücken,Rechtsanwälte Comtesse & Comtesse,2026-04-09T10:41:02.279Z
Sachbearbeiter Fluggastrechte (m/w/d),https://de.indeed.com/viewjob?jk=7d43cc67275d3c41,68219 Mannheim,Mauser Steinbrenner Rechtsanwälte,2025-10-08T22:55:24.992Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=315b5ba263a2a093,10117 Berlin,Leinemann Partner Rechtsanwälte mbB,2026-04-02T10:21:11.973Z
Rechtsanwaltsfachangestellte:r (m/w/d),https://de.indeed.com/viewjob?jk=5b29bd6c80628be6,94032 Passau,Rechtsanwaltskanzlei Ramelsberger,2026-04-10T10:28:20.296Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=d489d94b015a321a,64807 Dieburg,Höck Spieß Fach Lieb,2025-10-21T16:11:31.379Z
Buchhalter (m/w/d),https://de.indeed.com/viewjob?jk=dbe3ce766b1d868a,86150 Augsburg,Ernst Voigt Rechtsanwälte,2026-03-30T18:52:35.314Z
Sachbearbeiter Forderungsmanagement (m/w/d),https://de.indeed.com/viewjob?jk=e60cb1cc4772eae4,10829 Berlin,EOS Deutscher Inkasso-Dienst GmbH,2026-03-26T15:55:55.539Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=848d28afa5eae42f,66111 Saarbrücken,Rechtsanwaltskanzlei Will,2026-03-31T16:55:35.375Z
Rechtsanwaltsfachangestellter (m/w/d),https://de.indeed.com/viewjob?jk=d09b5af7ab413778,99817 Eisenach,Gerlach Hünlein Rechtsanwaltsgesellschaft mbH,2024-11-23T21:27:38.307Z
Rechtsanwaltsfachangestellte(r) (m/w/d),https://de.indeed.com/viewjob?jk=2a61b1ded41e0c34,79787 Lauchringen,Lovisi Versicherungsmakler GmbH,2026-02-27T07:04:30.941Z
Mitarbeiter/in Fachbereich 1 -Zentrale Dienste / Sachgebiet Kita's + Schulen (w/m/d),https://de.indeed.com/viewjob?jk=50d45bc042bdeb88,67806 Rockenhausen,Verbandsgemeinde Nordpfälzer Land,2026-04-14T15:34:38.138Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=ade85d41a7a62367,63571 Gelnhausen,Rechtsanwälte Dr. Hamm//Scherer//Heß,2026-04-13T15:33:53.250Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=06bc935f9814aab5,73033 Göppingen,Hauptmann-Uhl & Kollegen,2025-07-15T04:11:18.140Z
Sachbearbeiter (m/w/d) – Vorgerichtliche Forderungsbearbeitung,https://de.indeed.com/viewjob?jk=a8fb6c488db2a5b8,74074 Heilbronn,LIQUIDA Inkasso GmbH,2025-07-08T15:22:59.883Z
Rechtsanwaltsfachangestellte (m/w/d) mit Bock auf Dispo,https://de.indeed.com/viewjob?jk=992f66b7de2a48f5,09120 Chemnitz,Leihtaxi BTW & Ersatzwagen GmbH,2026-03-29T17:33:46.226Z
Notarfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=b55896bfb9d534a7,99084 Erfurt,Notar Alexander Beck,2026-04-12T12:57:45.802Z
Mitarbeiter/in Sekretariat (w/m/d),https://de.indeed.com/viewjob?jk=d540cd1f5f74286a,41334 Nettetal,"WWS Wirtz, Walter, Schmitz GmbH",2026-04-09T12:10:47.960Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=4ce859fc830dc0f6,97070 Würzburg,Haus- und Grundbesitzerverein Würzburg & Umgebung e.V.,2026-04-16T21:40:22.746Z
Justizbeschäftigte/r (w/m/d),https://de.indeed.com/viewjob?jk=f8202d7ea95d9918,28195 Bremen,Freie Hansestadt Bremen,2025-05-20T08:08:49.373Z
Mitarbeiter*in (m/w/d),https://de.indeed.com/viewjob?jk=3a2a5059ca095f5d,26427 Esens,Samtgemeinde Esens,2026-04-23T10:56:46.820Z
Rechtsanwaltsfachangestellte/r (m/w/d),https://de.indeed.com/viewjob?jk=46aab525914dd2cd,10117 Berlin,Rexlegal,2024-11-30T17:07:15.610Z
Rechtsanwaltsfachangestellte/r (m/w/d),https://de.indeed.com/viewjob?jk=7dfb4ebf154310af,20095 Hamburg,Hansen & Münch Rechtsanwaltskanzlei Partnerschaftsgesellschaft,2026-04-13T10:24:34.742Z
Rechtsanwaltsfachangestellte(r) / Legal Assistant,https://de.indeed.com/viewjob?jk=9e38af0cf99ac201,14199 Berlin,Nyman Legal - Real Estate & Transactions,2026-04-16T17:48:15.486Z
Rechtsanwaltsfachangestellte:r (m/w/d) - Moderne Kanzlei statt Akten-Chaos,https://de.indeed.com/viewjob?jk=ff9747fcfb1c10ba,Landsberg am Lech,4Chain Consulting,2025-12-16T23:38:23.647Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=8dfaba6f97a40468,86150 Augsburg,Ernst Voigt Rechtsanwälte,2026-03-30T18:44:26.150Z
Rechtsanwalt (m/w/d),https://de.indeed.com/viewjob?jk=805c68ae957eb259,73033 Göppingen,Hauptmann-Uhl & Kollegen,2025-07-15T22:10:37.319Z
Rechtsanwalt (m/w/d),https://de.indeed.com/viewjob?jk=75323e90eee69394,55299 Nackenheim,Cadenberg Rechtsanwaltsgesellschaft Rhein/Main mbH,2026-04-14T11:17:56.650Z
Rechtsanwalt (m/w/d),https://de.indeed.com/viewjob?jk=ab2c9a848329fcb8,32832 Augustdorf,Hüsemann & Kurt Kanzlei für Erbrecht,2026-04-15T13:01:56.153Z
Rechtsanwalt mit Partnerschaftsoption (m/w/d),https://de.indeed.com/viewjob?jk=69a0c584de9fb56f,27753 Delmenhorst,AWP GmbH & Co. KG Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft,2025-05-23T15:19:42.733Z
Rechtsanwalt (m/w/d),https://de.indeed.com/viewjob?jk=c8bba33ca5b919b1,Emmendingen,"RUFUNDSCHLENKER Wirtschaftsprüfer, Steuerberater, Rechtsanwälte",2026-04-04T11:01:07.830Z
Rechtsanwaltsfachangestellte (m/w/d),https://de.indeed.com/viewjob?jk=d489d94b015a321a,64807 Dieburg,Höck Spieß Fach Lieb,2025-10-21T16:11:31.379Z
