"Titel","Link","Kanzlei","Stadt","Quelle","first_seen","last_seen"
"1 Job bei der WWP Rechtsanwälte","https://www.stepstone.de/stellenangebote--1-Job-bei-der-WWP-Rechtsanwaelte-Kiel-Deutschland-WWP-Rechtsanwaelte-Ges-Dr-Ingmar-Werner--13658165-inline.html?rltr=512_12_25_seorl_m_0_0_0_0_0_0","WWP Rechtsanwälte, Ges. Dr. Ingmar Werner","Kiel, Deutschland","legacy","2026-04-17","2026-05-13"
"152151 Steuerfachwirt (m/w/d) - Ihre Expertise zählt","https://www.stepstone.de/stellenangebote--152151-Steuerfachwirt-m-w-d-Ihre-Expertise-zaehlt-Landshut-Deutschland-Guelec-Schreiber-Steuerberater-Rechtsanwalt-Partn--12732341-inline.html?rltr=1519_19_25_seorl_m_0_0_0_0_0_0","Güleç & Schreiber Steuerberater-Rechtsanwalt Partn...","Landshut, Deutschland","legacy","2026-04-14","2026-05-13"
"2026/41) Sachbearbeitung (m/w/d) Bußgeldstelle","https://de.indeed.com/viewjob?jk=b64c9cdb02920b6e","Landkreis Greiz","07973 Greiz","legacy","2026-04-14","2026-06-02"
"ADs Spezialist Senior SEA Manager","https://www.stepstone.de/stellenangebote--ADs-Spezialist-Senior-SEA-Manager-Karlsruhe-Rechtsanwaltskanzlei-Peter-Weber--13650278-inline.html?rltr=2044_19_25_seorl_m_0_0_0_0_0_0","Rechtsanwaltskanzlei Peter Weber","Karlsruhe","legacy","2026-04-16","2026-05-13"
"AI & Digital Innovation Manager (m/w/d)","https://zirngibl.de/karriere","ZIRNGIBL Rechtsanwälte Partnerschaft mbB","München","legacy","2026-04-03","2026-06-02"
"AML/KYC Analyst (w/m/d) / Sachbearbeiter (w/m/d) Geldwäscheprävention","https://de.indeed.com/viewjob?jk=f5ce802ad5d54369","Osborne Clarke","20359 Hamburg","legacy","2026-02-20","2026-06-02"
"ANWÄLTINNEN / ANWÄLTE","http://www.contentlaw.de/anwaeltinnen-anwaelte","HOPPENSTEDT RECHTSANWÄLTE","Zentrale/Unbekannt","legacy","2026-04-02","2026-06-02"
"ASSISTENT Unternehmensinsolvenz/nat. Personen (m/w/d)","https://kanzlei-scholze.de/wp-content/uploads/2021/05/Assistent-IN.pdf","KANZLEI SCHOLZE","Dresden","legacy","2026-04-03","2026-06-02"
"ASSISTENZ (M/W/D) RECHTSANWALTSFACHANGESTELLTE(R), FREMDSPRACHENKORRESPONDENT(IN)","https://blaum.de/karriere","Blaum Dettmers Rabstein Rechtsanwälte","Hamburg","legacy","2026-04-03","2026-06-02"
"ASSISTENZ DER GESCHÄFTSFÜHRUNG/BÜROLEITER (M/W/D)","https://kanzlei-scholze.de/wp-content/uploads/2021/06/Bu%CC%88roleiter.pdf","KANZLEI SCHOLZE","Dresden","legacy","2026-04-03","2026-06-02"
"ASSISTENZ DER RECHTSABTEILUNG (m/w/d)","https://de.indeed.com/viewjob?jk=3744f39e088fe1e9","GC Großhandels Contor GmbH","28816 Stuhr","legacy","2026-03-13","2026-05-13"
"AUSBILDUNG PATENTANWALTSFACHANGESTELLTE (m/w/d)","https://www.patguard.de/job/patentanwaltsfachangestellte-m-w-d-2","Patentanwälte und Rechtsanwälte Bockhorni & Kollegen Chemnitz","Buchloe","legacy","2026-04-02","2026-06-02"
"AUSBILDUNG ZUR/ZUM RECHTSANWALTSFACHANGESTELLTEN (m/w/d)","https://holzhauser.de/karriere","H&P Prof. Dr. Holzhauser & Partner Rechtsanwälte","Dresden","legacy","2026-04-02","2026-06-02"
"AUSZUBILDENDE (M/W/D) für den Beruf des RechtsanwaltsGehilfen und RechtsanwaltsFachangestellten","https://hsk-anwaelte.de/kontakt","HSK Rechtsanwälte Kroll & Kollegen","Eichstätt","legacy","2026-04-03","2026-06-02"
"AUSZUBILDENDE (M/W/D) für den Beruf des RechtsanwaltsGehilfen und RechtsanwaltsFachangestellten","https://hsk-anwaelte.de/karriere","HSK Rechtsanwälte Kroll & Kollegen","Ingolstadt","legacy","2026-04-03","2026-06-02"
"AUSZUBILDENDE (N) (m/w/d)","https://www.stepstone.de/stellenangebote--AUSZUBILDENDE-N-m-w-d-Augsburg-Hagen-Hild--13072355-inline.html?rltr=917_17_25_seorl_m_0_0_0_0_1_0","Hagen Hild","Augsburg","legacy","2026-04-18","2026-05-13"
"AUSZUBILDENDE ALS RECHTSANWALTSFACHANGESTELLTE (m/w/divers)","https://de.indeed.com/viewjob?jk=88fcde30e6c15d29","Rechtsanwälte Zakrzewski, Turowski und Leberig (GbR)","Koblenz","legacy","2025-04-06","2026-05-13"
"AUSZUBILDENDE/R ZUR/ZUM RECHTSANWALTSFACHANGESTELLTE/N (M/W/D)","https://de.indeed.com/viewjob?jk=dcee3a230f6d5b09","Schwentker · Bückmann GbR","46047 Oberhausen","legacy","2026-03-01","2026-05-13"
"AZUBI RECHTSANWALTS- UND NOTARFACHANGESTELLTE/R (M/W/D)","https://www.schmel.de/jobs","DR. SCHMEL - Notar Fachanwälte Rechtsanwälte","Bremerhaven","legacy","2026-04-02","2026-06-02"
