Kanzlei,Jobtitel,Location,Link,Erstes_Funddatum,Zuletzt_Gesehen,Email
Schlun & Elseven Lawyers,Rechtsanwältinnen und Rechtsanwälte (m/w/d),Aachen,https://se-legal.de/karriere/#stellenanzeigen-ra,2026-04-02,2026-04-19,karriere@se-legal.de
Schlun & Elseven Lawyers,Rechtsanwältinnen und Rechtsanwälte (m/w/d),Düsseldorf,https://se-legal.de/karriere/#stellenanzeigen-ra,2026-04-02,2026-04-19,karriere@se-legal.de
Schlun & Elseven Lawyers,Rechtsanwältinnen und Rechtsanwälte (m/w/d),Köln,https://se-legal.de/karriere/#stellenanzeigen-ra,2026-04-02,2026-04-19,karriere@se-legal.de
"REWISTO Lawyers Friedhoff, wall and Partners",Schreibkraft (W/M/D),Aachen,https://www.rewisto.de/die-fachanwaltskanzlei/stellenangebote/stelle/rechtsanwaltsfachangestellte-in-vollzeit-w-m-d,2026-04-02,2026-04-24,rechtsanwaelte@rewisto.de
Kanzlei Doszna,Rechtsreferendare (m/w/d),Aachen,https://kanzlei-doszna.de/wp-content/uploads/2025/07/Stellenanzeige.pdf,2026-04-02,2026-04-24,kanzlei@doszna.de
Anwaltskanzlei Bex,Referendarausbildung,Aachen,http://www.rechtsanwalt-bex.de/stellenangebote.html,2026-04-02,2026-04-24,bex@rechtsanwalt-bex.de
"AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB",Steuerfachangestellte/r,Aachen,https://aixlaw.de/service/karriere/,2026-04-02,2026-04-19,karriere@aixlaw.de
Stein & Partner Rechtsanwälte,Rechtsreferendare (m/w/d),Aachen,https://steinundpartner.de/karriere/,2026-04-02,2026-04-24,info@steinundpartner.de
Stein & Partner Rechtsanwälte,Rechtsanwaltsfachangestellte (m/w/d),Aachen,https://steinundpartner.de/karriere/,2026-04-02,2026-04-24,info@steinundpartner.de
Stein & Partner Rechtsanwälte,Auszubildende zum/zur Rechtsanwaltsfachangestellten (m/w/d),Aachen,https://steinundpartner.de/karriere/,2026-04-02,2026-04-24,info@steinundpartner.de
Stein & Partner Rechtsanwälte,Rechtsanwalt Arbeitsrecht (m/w/d),Aachen,https://steinundpartner.de/karriere/,2026-04-02,2026-04-24,info@steinundpartner.de
