""
['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
"['\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tür Arbeitsrecht""', 'Stuttgart', 'https://www.shp-anwaltskanzlei.de/karriere.html', '2026-04-05', 'info@shp-anwaltskanzlei.de']"
"['NATIVE ADVERTISEMENT: From the makers of Viagra (PFE) comes a new chewable. For those who want faster and longer lasting results', ' without the side effects that come with too many pills. ""', 'Karlsruhe', 'https://lueckeundpartner.com/karriere/', '2026-04-05', 'info@lueckeundpartner.com']"
"['ADAC Vertragsanwalt Thomas Lehmann, Rechtsanwalt und Fachanwalt für Verkehrsrecht', 'Fachanwalt Verkehrsrecht', 'Zentrale/Unbekannt', '', '2026-04-02', '']"
"['ADAC Vertragsanwalt Thomas Lehmann, Rechtsanwalt und Fachanwalt für Verkehrsrecht', 'Fachanwalt Verkehrsrecht', 'Zentrale/Unbekannt', '', '2026-04-05', '']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Rechtsanwaltsfachangestellte (w/m/d)', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-05', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Rechtsanwaltsfachangestellte', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-02', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Rechtsreferendar', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-02', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Rechtsreferendare und Referendarinnen', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-05', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Steuerfachangestellte/r', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-02', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Steuerfachangestellte/r', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-05', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Wirtschaftsjurist/in', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-02', 'karriere@aixlaw.de']"
"['AIXLAW Rechtsanwälte Speicher,Betzer PartGmbB', 'Wirtschaftsjurist/in', 'Aachen', 'https://aixlaw.de/service/karriere/', '2026-04-05', 'karriere@aixlaw.de']"
"['Abletshauser, Gröger & Kollegen', 'Eine/n Rechtsanwalt/-anwältin m/w/d im Bereich BAU- UND ARCHITEKTENRECHT', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-03', 'bewerbungen@ags-freiburg.de']"
"['Abletshauser, Gröger & Kollegen', 'Eine/n Rechtsanwalt/-anwältin m/w/d im Bereich FAMILIENRECHT', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-03', 'bewerbungen@ags-freiburg.de']"
"['Abletshauser, Gröger & Kollegen', 'Eine/n Rechtsanwaltsfachangestellte/n (m/w/d) in Voll- oder Teilzeit.', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-03', 'bewerbungen@ags-freiburg.de']"
"['Abletshauser, Gröger & Kollegen', 'Rechtsanwalt/-anwältin m/w/d im Bereich BAU- UND ARCHITEKTENRECHT', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-05', 'bewerbungen@ags-freiburg.de']"
"['Abletshauser, Gröger & Kollegen', 'Rechtsanwalt/-anwältin m/w/d im Bereich FAMILIENRECHT', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-05', 'bewerbungen@ags-freiburg.de']"
"['Abletshauser, Gröger & Kollegen', 'Rechtsanwaltsfachangestellte/n (m/w/d) in Voll- oder Teilzeit', 'Freiburg', 'https://www.ags-freiburg.de/stellenangebote', '2026-04-05', 'bewerbungen@ags-freiburg.de']"
"['Anwalt & Notar in Recklinghausen - Dr. Tykwer, Mecke, Stegemann & Palm - Rechtsanwälte', 'Auszubildende(r) zur/m Notarfachangestellten (m/w/d)', 'Recklinghausen', 'https://www.anwalt-in-recklinghausen.de/stellenangebote', '2026-04-03', 'rechtsanwalt@dr-tykwer.de']"
