"Unternehmensname","Domainname des Unternehmens","Jobboard_URL","diagnosis_status","diagnosis_reason","recommended_action","job_count_name","job_count_domain","last_checked_at","canonical_firm_id"
"Hogan Lovells","hoganlovells.com","https://www.hoganlovells.com/en/global-careers","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","hogan-lovells"
"PwC","pwc.com","https://jobs.pwc.de/de/de/jobs-experienced","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","pwc"
"Pinsent Masons","pinsentmasons.com","https://www.pinsentmasons.com/de-de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","pinsent-masons"
"Forvis Mazars","forvismazars.com","https://careers.forvismazars.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","forvis-mazars"
"Becker Büttner Held","bbh-online.de","https://www.bbh-karriere.de/de/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","becker-buettner-held"
"Dr. Dienst & Partner GmbH & Co. KG","hlb-ddp.de","https://ddp-gruppe.de/standort/koblenz/#","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","dr-dienst-und-und-co"
"Herbert Smith Freehills","hsfkramer.com","https://hsfkramer.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","herbert-smith-freehills"
"eagle lsp","eagle-lsp.de","https://eagle-lsp.jobs.personio.de/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","eagle-lsp"
"KBHT Kalus + Hilger","kbht.de","https://www.kbht-karriere.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","kbht-kalus-hilger"
"Husemann Eickhoff Salmen & Partner","husemannpartner.de","https://www.husemannpartner.de/karriere/stellenangebote/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","husemann-eickhoff-salmen-und"
"Petersen Hardraht Pruggmayer","petersenhardrahtpruggmayer.de","https://petersenpartners.de/de/ueber-uns/karriere/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-02","petersen-hardraht-pruggmayer"
"Willkie Farr & Gallagher","willkie.com","https://www.willkie.com/careers","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","willkie-farr-und-gallagher"
"Viering, Jentschura & Partner mbB Patent- und Rechtsanwälte","vjp.de","https://www.vjp.de/karriere","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","viering-jentschura-und-patent-und"
"SMP Schinogl Müller & Partner GbR","smp-frankfurt.de","https://smp-frankfurt.deine-wunschkanzlei.de/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-02","smp-schinogl-mueller-und-gbr"
