"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","16","0","16","0","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","15","0","14","1","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","4","0","4","0","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","11","0","11","0","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","4","0","4","0","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","41","0","39","2","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","14","0","14","0","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","28","0","25","3","18436","18436"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","22","20","1","1","18436","18456"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","28","16","12","0","18456","18472"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","8","6","0","2","18472","18478"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","36","25","11","0","18478","18503"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","45","41","3","1","18503","18544"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","56","56","0","0","18544","18600"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","7","7","0","0","18600","18607"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","15","9","1","5","18607","18616"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","50","42","0","8","18616","18658"
