"canonical_firm_id","Unternehmensname","Domainname des Unternehmens","Jobboard_URL","strategy","adapter","ats","status","reason","http_status","html_job_count","json_job_count","signals","analyzed_at"
"white-und-case","White & Case LLP","whitecase.com","https://www.whitecase.com/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","7","0","json_ld,js_app,host:www.whitecase.com","2026-06-19"
"watson-farley-und-williams","Watson Farley & Williams","wfw.com","https://join-the-future.de/stellenangebote/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","14","0","pagination,blocked,host:join-the-future.de","2026-06-19"
"sza-schilling-zutt-und-anschuetz","SZA Schilling, Zutt & Anschütz","sza.de","https://www.sza.de/de/karriere/offene-stellen","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","19","0","nuxt,pagination,js_app,host:www.sza.de","2026-06-19"
"oppenhoff","Oppenhoff","oppenhoff.eu","https://www.oppenhoff.eu/de/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","5","0","json_ld,host:www.oppenhoff.eu","2026-06-19"
"osborne-clarke","Osborne Clarke","osborneclarke.com","https://www.osborneclarke.com/careers/careers-belgium","embedded_json","","unknown","ready","Eingebettete strukturierte Jobdaten gefunden.","200","3","1","json_ld,host:www.osborneclarke.com","2026-06-19"
"norton-rose-fulbright","Norton Rose Fulbright","nortonrosefulbright.com","https://www.nortonrosefulbright.com/de-de/careers","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","4","0","pagination,blocked,host:www.nortonrosefulbright.com","2026-06-19"
"luther-rechtsanwaltsgesellschaft-mbh","Luther Rechtsanwaltsgesellschaft mbH","luther-lawfirm.com","https://www.luther-lawfirm.com/luther-karriere/stellenangebote","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","6","0","json_ld,host:www.luther-lawfirm.com","2026-06-19"
"menold-bezler","Menold Bezler Rechtsanwälte Steuerberater Wirtschaftsprüfer","menoldbezler.de","https://karriere.menoldbezler.de/stellenanzeigen.html#c3206","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","44","0","json_ld,host:karriere.menoldbezler.de","2026-06-19"
"gsk-stockmann","GSK Stockmann","gsk.de","https://career.gsk.de/de/","playwright","","unknown","needs_browser","Seite wirkt JavaScript-/Pagination-getrieben.","200","0","0","json_ld,load_more,js_app,host:career.gsk.de","2026-06-19"
"flick-gocke-schaumburg","Flick Gocke Schaumburg","fgs.de","https://www.fgs.de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","16","0","host:www.fgs.de","2026-06-19"
"eversheds-sutherland","Eversheds Sutherland","eversheds-sutherland.com","https://ezine.eversheds-sutherland.com/stellenangebote-in-deutschland/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","26","0","pagination,host:ezine.eversheds-sutherland.com","2026-06-19"
"cbh","CBH Rechtsanwälte","cbh.de","https://www.cbh.de/ihre-karriere-bei-cbh-rechtsanwaelte/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","3","0","json_ld,pagination,blocked,js_app,host:www.cbh.de","2026-06-19"
"freshfields","Freshfields","freshfields.com","https://www.freshfields.com/en/your-career","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","load_more,pagination,js_app,host:www.freshfields.com","2026-06-19"
"gleiss-lutz","Gleiss Lutz","gleisslutz.com","https://www.gleisslutz.com/de/karriere","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","2","0","pagination,host:www.gleisslutz.com","2026-06-19"
"lupp","Lupp + Partner","lupp-partner.com","https://lupp-partner.com/career/#jobs","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","1","0","json_ld,host:lupp-partner.com","2026-06-19"
"wts-rechtsanwaltsgesellschaft-mbh","WTS Legal Rechtsanwaltsgesellschaft mbH","wts.com","https://wts.com/de-de/karriere/jobboerse","playwright","browser:wts","unknown","ready","Browser-Adapter browser:wts erkannt.","","0","0","","2026-06-19"
"schultze-und-braun","Schultze & Braun","karriere.schultze-braun.de","karriere.schultze-braun.de","llm_fallback","","unknown","request_error","MissingSchema","","0","0","","2026-06-19"
"raue","Raue","raue.com","https://raue.com/karriere/","dom","","unknown","ready","Joblinks sind direkt im HTML sichtbar.","200","8","0","blocked,host:raue.com","2026-06-19"
