Job_Titel,Titel_url,Name_des_Unternehmens,Standort,Erscheinen
Mitarbeitende im Bereich Ausfertigung - Notarfachangestellte (m/w/d) in Voll- oder Teilzeit,https://www.stepstone.de/stellenangebote--Mitarbeitende-im-Bereich-Ausfertigung-Notarfachangestellte-m-w-d-in-Voll-oder-Teilzeit-Hamburg-Notare-Spitalerstrasse--13817489-inline.html?rltr=1_1_25_seorl_m_0_0_0_0_1_0,Notare Spitalerstraße,Hamburg,2026-04-25T16:03:05+02:00
Erfahrene/r Notarmitarbeiter/in oder Notarfachangestellte/r,https://www.stepstone.de/stellenangebote--Erfahrene-r-Notarmitarbeiter-in-oder-Notarfachangestellte-r-Muenchen-Notar-Dr-Markus-Riemenschneider--13253427-inline.html?rltr=2_2_25_seorl_m_0_0_0_0_1_0,Notar Dr. Markus Riemenschneider,München,2026-04-25T05:03:07+02:00
Notarfachangestellte (m/w/d) oder Notarfachwirtin (m/w/d) in Vollzeit,https://www.stepstone.de/stellenangebote--Notarfachangestellte-m-w-d-oder-Notarfachwirtin-m-w-d-in-Vollzeit-Berlin-Deloitte-Legal-Rechtsanwaltsgesellschaft-mbH--13813361-inline.html?rltr=3_3_25_seorl_m_0_0_0_0_1_0,Deloitte Legal Rechtsanwaltsgesellschaft mbH,Berlin,2026-04-24T12:03:13+02:00
Rechtsanwalt (m/w/d),https://www.stepstone.de/stellenangebote--Rechtsanwalt-m-w-d-Duesseldorf-JetztJob-de--13386096-inline.html?rltr=1_1_25_seorl_m_0_0_0_0_0_0,JetztJob.de,Düsseldorf,2026-04-27T07:15:56+02:00
Rechtsanwaltsfachangestellte (w/m/d) in Vollzeit,https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellte-w-m-d-in-Vollzeit-Berlin-reuschlaw--13608473-inline.html?rltr=1_1_25_seorl_m_0_0_0_0_0_0,reuschlaw,Berlin,2026-04-25T13:03:12+02:00
Rechtsanwaltsfachangestellte (m/w/d),https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellte-m-w-d-Stuttgart-Breyer-Rechtsanwaelte-PartmbB--13642513-inline.html?rltr=2_2_25_seorl_m_0_0_0_0_0_0,Breyer Rechtsanwälte PartmbB,Stuttgart,2026-04-27T13:03:05+02:00
Rechtsanwaltsfachangestellte*r (w/m/d),https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellter-w-m-d-Neubrandenburg-DGB-Rechtsschutz-GmbH--13947193-inline.html?rltr=3_3_25_seorl_m_0_0_0_0_0_0,DGB Rechtsschutz GmbH,Neubrandenburg,2026-04-24T01:00:56+02:00
Rechtsanwaltsfachangestellte (m/w/d) – Teilzeit in Berlin (20–24 h/Woche),https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellte-m-w-d-Teilzeit-in-Berlin-20-24-h-Woche-Berlin-Rechtsanwaltskanzlei-Lutz-Koerner--13424751-inline.html?rltr=4_4_25_seorl_m_0_0_0_0_0_0,Rechtsanwaltskanzlei Lutz Körner,Berlin,2026-04-23T16:03:21+02:00
Rechtsanwaltsfachangestellte / Rechtsanwaltsassistenz / Rechtsfachwirte (m/w/d) | TOP-Anwaltskanzlei,https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellte-Rechtsanwaltsassistenz-Rechtsfachwirte-m-w-d-TOP-Anwaltskanzlei-Frankfurt-am-Main-Hamburg-Muenchen-Koeln-Duesseldorf-Stuttgart-Berlin-Step-Advisors-GmbH--13941178-inline.html?rltr=5_5_25_seorl_m_0_0_0_0_1_0,Step Advisors GmbH,"Frankfurt am Main, Hamburg, München, Köln, Düsseldorf, Stuttgart, Berlin",2026-04-23T16:50:42+02:00
Rechtsanwaltsfachangestellte (m/w/d) in Vollzeit,https://www.stepstone.de/stellenangebote--Rechtsanwaltsfachangestellte-m-w-d-in-Vollzeit-Saarbruecken-mediserv-Bank-GmbH--13868409-inline.html?rltr=6_6_25_seorl_m_1_0_0_0_0_0,mediserv Bank GmbH,Saarbrücken,2026-04-23T15:03:10+02:00
