"Unternehmensname","Domainname des Unternehmens","Jobboard_URL"
"White & Case LLP","whitecase.com","https://www.whitecase.com/karriere"
"Watson Farley & Williams","wfw.com","https://www.wfw.com/careers/"
"SZA Schilling, Zutt & Anschütz","sza.de","https://www.sza.de/de/karriere/offene-stellen"
"Oppenhoff","oppenhoff.eu","https://www.oppenhoff.eu/de/karriere/"
"Osborne Clarke","osborneclarke.com","https://www.osborneclarke.com/careers/careers-belgium"
"Norton Rose Fulbright","nortonrosefulbright.com","https://www.nortonrosefulbright.com/de-de/careers"
"Luther Rechtsanwaltsgesellschaft mbH","luther-lawfirm.com","https://www.luther-lawfirm.com/luther-karriere/stellenangebote"
"Menold Bezler Rechtsanwälte Steuerberater Wirtschaftsprüfer","menoldbezler.de","https://karriere.menoldbezler.de/stellenanzeigen.html#c3206"
"GSK Stockmann","gsk.de","https://career.gsk.de/de/"
"Flick Gocke Schaumburg","fgs.de","https://www.fgs.de/karriere"
"Eversheds Sutherland","eversheds-sutherland.com","https://ezine.eversheds-sutherland.com/stellenangebote-in-deutschland/"
"CBH Rechtsanwälte","cbh.de","https://www.cbh.de/ihre-karriere-bei-cbh-rechtsanwaelte/"
"Freshfields","freshfields.com","https://www.freshfields.com/en/your-career"
"Gleiss Lutz","gleisslutz.com","https://www.gleisslutz.com/de/karriere"
"Lupp + Partner","lupp-partner.com","https://lupp-partner.com/career/#jobs"
"WTS Legal Rechtsanwaltsgesellschaft mbH","wts.com","https://wts.com/de-de/karriere/jobboerse"
"Schultze & Braun","karriere.schultze-braun.de","karriere.schultze-braun.de"
"Raue","raue.com","https://raue.com/karriere/"
"Kapellmann und Partner Rechtsanwälte mbB","kapellmann.de","https://www.kapellmann.de/de/karriere/"
"Jones Day","jonesday.com","https://www.jonesday.com/en/careers/locations/germany?tab=opportunities"
